title,upvote
2023 Grad School Q&A Mega-Thread,6
"Personnel/Work Assessment: should a ""perfect"" score be attainable?",5
Soon to be MSc Business Psychology Graduate,7
Good introductory I/O textbooks?,10
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
Resources on Critical Roles,8
Careers in Korea?,6
Employee Engagement in Large Company,11
Best Stats Courses to Prepare for Masters Program?,11
Questions on determining the sample sizes for pulse surveys,11
Korn Ferry 360 Certification,8
"As current IO practitioners and lifelong IO ""students""",14
Free time among academics vs practitioners?,7
Proposing to Volunteer to do HR Analytical Work in Current Role (HRC),4
Possible Internship Advice,7
MBTI & Big five,9
I’m looking into applying for the masters program near me. One of the requirements is a LOR from a psychology professor. I’ve been out of school since 2017 therefore don’t have any relationship with previous professors. Does anyone have any advice? Feeling kind of stuck with that.,8
Just curious on some career choices within this field? I went to college w the intention of following w my masters in IO psych..,6
What Were Your GRE Scores? [Admission for Masters Programs],3
Dream school or tuition assistance school?,2
Searching UK Internships,1
Best route to get into consulting or to work for a consulting firm?,5
Salary Outlook For Master's-Level I/O Psychologists,15
Non-academic research jobs,6
Shadowmatch,1
How to Break Into I/O Jobs?,9
Masters in I/O in Canada - Job Prospects?,3
Questions About Prospective Online Grad Program,0
A fork in my career path.,10
Internships are Tough: An Overview of One Grad Student's Experience,32
Self-Taught Stats,12
I/O Related job?,7
How to prepare for summer internships 2024?,3
"What's a statistical / research methodology, that's not usually taught in grad programs, that you think more IO's should be aware about?",20
PsyD Worth it?,7
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
HR undergrad - can I still get into a Masters in I/O?,7
Any Good I/O Related Jobs Before Getting Masters?,16
Career advice,8
"Pyschometric experts / IO Pyschologist, how did you switch jobs?",11
Repository of assessments?,3
Malpractice insurance for independent consultants?,4
Is this the right flow for a workshop?,1
AI seems poised to take over many jobs— how will this affect I/O as a field,13
Advice for current undergrad?,9
Let’s get a salary thread going.,84
Best books for someone learning SPSS for the first time?,4
Career Change - Tech Exec to Psychology - Ideas & Help?,3
Getting an entry level job,9
Licensure for consulting/networking,8
Getting into IO Psychology in college?,8
Feeling Stuck,18
Organisational Health Index (OHI),6
Looking for recommendations on books on structured interviews,10
Best I/O conferences for early researcher?,11
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",7
Summer Internships,12
Does the B.A. / B.S. distinction really matter for grad school/job apps?,9
NYT DEIB Article,2
What does research look like in IO Psych?,2
Is a phd worth it if I don’t want to go into academia?,23
Is majoring in business a good idea?,10
Psychology Applied to Work,3
Idea for an intervention on student organization member retention,5
ONA for performance reviews,4
Would taking project management jobs hurt my career in IO?,13
Why not select on intelligence?,5
Would I be able to,3
What made you choose IO over other areas of psychology?,15
"Having a hard time understanding the career path of a IO major. I have a psych degree and work in logistics transportation. Looking to move into something else and get a master in either HRM or IO. I get where you’d go with HRM, but what are the actual jobs you’d land with a masters in IO?",10
